/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/providers/onboarding_store.ts: line 390, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/providers/planner_store.ts: line 49, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/providers/planner_store.ts: line 91, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/AuthScreen.tsx: line 25, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckInResultScreen.tsx: line 11, col 3, Error - 'MD3Colors' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckInResultScreen.tsx: line 15, col 10, Error - 'appColors' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckInResultScreen.tsx: line 71, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckInResultScreen.tsx: line 82, col 54, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckinScreen.tsx: line 9, col 3, Error - 'Surface' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CheckinScreen.tsx: line 44, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ConfigScreen.tsx: line 15, col 3, Error - 'ActivityIndicator' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ConfigScreen.tsx: line 18, col 10, Error - 'LucideUser' is defined but never used. (@typescript-eslint/no-unused-vars)
